,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
246,SWE,TRADEGOOD,EXP,MLN_USD,A,2014,179357.5
247,SWE,TRADEGOOD,EXP,MLN_USD,A,2015,152403.9
248,SWE,TRADEGOOD,EXP,MLN_USD,A,2016,152298.2
249,SWE,TRADEGOOD,EXP,MLN_USD,A,2017,165419.1
250,SWE,TRADEGOOD,IMP,MLN_USD,A,2013,160053.6
251,SWE,TRADEGOOD,IMP,MLN_USD,A,2014,161965.7
252,SWE,TRADEGOOD,IMP,MLN_USD,A,2015,138605.3
253,SWE,TRADEGOOD,IMP,MLN_USD,A,2016,140348.7
254,SWE,TRADEGOOD,IMP,MLN_USD,A,2017,152987.2
255,CHE,TRADEGOOD,EXP,MLN_USD,A,2013,373362.7
256,CHE,TRADEGOOD,EXP,MLN_USD,A,2014,329635.1
257,CHE,TRADEGOOD,EXP,MLN_USD,A,2015,303258.0
258,CHE,TRADEGOOD,EXP,MLN_USD,A,2016,315920.5
259,CHE,TRADEGOOD,EXP,MLN_USD,A,2017,313525.4
260,CHE,TRADEGOOD,IMP,MLN_USD,A,2013,319995.7
261,CHE,TRADEGOOD,IMP,MLN_USD,A,2014,274062.9
262,CHE,TRADEGOOD,IMP,MLN_USD,A,2015,249714.3
263,CHE,TRADEGOOD,IMP,MLN_USD,A,2016,266418.3
264,CHE,TRADEGOOD,IMP,MLN_USD,A,2017,264384.5
265,TUR,TRADEGOOD,EXP,MLN_USD,A,2013,161785.8
266,TUR,TRADEGOOD,EXP,MLN_USD,A,2014,168925.8
267,TUR,TRADEGOOD,EXP,MLN_USD,A,2015,151972.2
268,TUR,TRADEGOOD,EXP,MLN_USD,A,2016,150165.8
269,TUR,TRADEGOOD,EXP,MLN_USD,A,2017,166164.5
270,TUR,TRADEGOOD,IMP,MLN_USD,A,2013,241706.3
271,TUR,TRADEGOOD,IMP,MLN_USD,A,2014,232518.8
272,TUR,TRADEGOOD,IMP,MLN_USD,A,2015,200086.5
273,TUR,TRADEGOOD,IMP,MLN_USD,A,2016,191019.8
274,TUR,TRADEGOOD,IMP,MLN_USD,A,2017,225111.9
275,GBR,TRADEGOOD,EXP,MLN_USD,A,2013,469546.0
276,GBR,TRADEGOOD,EXP,MLN_USD,A,2014,482603.5
277,GBR,TRADEGOOD,EXP,MLN_USD,A,2015,438126.4
278,GBR,TRADEGOOD,EXP,MLN_USD,A,2016,403633.0
279,GBR,TRADEGOOD,EXP,MLN_USD,A,2017,436372.1
