GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
47905.48,119208.8,19.7,8.88,0,0,0,1,22
48687.54,87586.95,25.77,5.36,1,2,0,0,22
48687.54,87586.95,14.97,11.56,2,2,0,0,22
48687.54,87586.95,20.03,8.65,0,2,0,0,22
48687.54,103383.3,25.77,5.36,1,2,0,1,22
48687.54,103383.3,14.97,11.56,2,2,0,1,22
48687.54,103383.3,20.03,8.65,0,2,0,1,22
49020.54,86841.75,26.67,5.94,1,3,0,0,22
49020.54,86841.75,17.33,11.84,2,3,0,0,22
49020.54,86841.75,21.72,9.06,0,3,0,0,22
49020.54,104098.7,26.67,5.94,1,3,0,1,22
49020.54,104098.7,17.33,11.84,2,3,0,1,22
49020.54,104098.7,21.72,9.06,0,3,0,1,22
51495.56,94758.8,25.35,5.3,1,4,0,0,22
51495.56,94758.8,16.03,10.87,2,4,0,0,22
51495.56,94758.8,20.43,8.24,0,4,0,0,22
51495.56,113337.7,25.35,5.3,1,4,0,1,22
51495.56,113337.7,16.03,10.87,2,4,0,1,22
51495.56,113337.7,20.43,8.24,0,4,0,1,22
224594.22,75099.13,16.66,8.8,1,1,0,0,2
224594.22,75099.13,9.6,17.83,2,1,0,0,2
224594.22,75099.13,13.04,13.44,0,1,0,0,2
224594.22,78498.85,16.66,8.8,1,1,0,1,2
224594.22,78498.85,9.6,17.83,2,1,0,1,2
224594.22,78498.85,13.04,13.44,0,1,0,1,2
226490.09,72985.74,16.76,9.33,1,0,0,0,2
226490.09,72985.74,10.04,18.44,2,0,0,0,2
226490.09,72985.74,13.32,14,0,0,0,0,2
226490.09,75360.71,16.76,9.33,1,0,0,1,2
226490.09,75360.71,10.04,18.44,2,0,0,1,2
226490.09,75360.71,13.32,14,0,0,0,1,2
230530.3,57120.09,16.36,9.46,1,2,0,0,2
230530.3,57120.09,10.59,18.75,2,2,0,0,2
230530.3,57120.09,13.4,14.22,0,2,0,0,2
230530.3,59091.36,16.36,9.46,1,2,0,1,2
230530.3,59091.36,10.59,18.75,2,2,0,1,2
230530.3,59091.36,13.4,14.22,0,2,0,1,2
