Country,Sex,Year,Parttime_rate,Selfemp_rate,GDP Value,Export,Import,Cost
SVN,WOMEN,2016,-0.539392535,-0.730995139,-0.515985186,0,1,-0.734014379
POL,TOT,2016,-1.027056939,0.268699644,-0.226077383,1,0,-0.30982555
POL,TOT,2013,-0.860479343,0.379517241,-0.255699552,1,0,-0.305454686
NZL,TOT,2016,0.41195853,-0.013070921,-0.480899782,0,1,-0.7101209
SVN,MEN,2015,-0.952562543,0.100507162,-0.516772112,0,1,-0.736273667
GBR,MEN,2015,-0.470701262,0.097506764,0.274535694,0,1,0.740596503
KOR,MEN,2015,-0.949822827,1.035795935,-0.000531454,0,1,0.248764449
TUR,MEN,2013,-0.927914934,1.46397773,-0.031864284,1,0,-0.395737303
GRC,TOT,2016,-0.555749625,1.600067752,-0.450121619,0,1,-0.685505965
NLD,MEN,2013,0.21552279,0.130212489,-0.289355319,0,1,0.365111137
KOR,TOT,2015,-0.594837197,0.782973133,-0.000531454,1,0,0.553226338
HUN,WOMEN,2015,-1.026971936,-0.998223034,-0.459381074,1,0,-0.578513542
JPN,WOMEN,2013,1.816315342,-0.757986769,0.945214958,0,1,1.155816559
CAN,WOMEN,2016,0.898500538,-0.989737703,-0.051397169,0,1,0.229710244
NZL,MEN,2015,-0.536814272,-0.03313894,-0.484240462,0,1,-0.709505672
DNK,WOMEN,2013,0.737130984,-1.237524935,-0.457890737,0,1,-0.54564723
BEL,MEN,2013,-0.967391479,0.07677575,-0.390994747,1,0,-0.020172005
DNK,MEN,2015,-0.178732782,-0.643035911,-0.453633569,0,1,-0.580499468
GRC,MEN,2013,-0.964204183,2.243273713,-0.450792566,1,0,-0.709692081
CZE,TOT,2015,-1.146624746,-0.067551926,-0.430872035,1,0,-0.479334763
SWE,TOT,2014,-0.248481533,-0.765069658,-0.401603035,1,0,-0.351982106
JPN,MEN,2015,-0.458525387,-0.592575677,1.0077818,0,1,0.768698218
CZE,WOMEN,2014,-0.859242236,-0.514751501,-0.434862603,0,1,-0.460329613
FIN,MEN,2014,-0.642232813,0.042401589,-0.468590854,0,1,-0.616857863
CZE,TOT,2014,-1.139438809,-0.002527719,-0.434862603,0,1,-0.460329613
AUT,MEN,2013,-0.843865442,-0.246445892,-0.414944127,1,0,-0.389714013
RUS,WOMEN,2015,-1.057807273,-1.169567029,0.541994318,0,1,-0.317958448
EU28,WOMEN,2016,0.972237082,-0.616417588,5.510229845,0,1,3.737932475
DNK,TOT,2015,0.298512517,-0.932543101,-0.453633569,1,0,-0.54116506
FRA,TOT,2013,-0.267817738,-0.671492898,0.241817121,1,0,0.650856477
EU28,WOMEN,2014,1.021030975,-0.57441302,5.155357435,0,1,4.649075562
GBR,TOT,2013,0.731942179,-0.342188831,0.219415072,0,1,0.833761902
FIN,TOT,2016,-0.268513787,-0.39674848,-0.464934662,1,0,-0.651638535
KOR,WOMEN,2014,-0.128516669,0.705667605,-0.027807812,0,1,0.506547022
RUS,TOT,2014,-1.209743483,-1.075515322,0.587845058,0,1,-0.031960363
BEL,WOMEN,2013,1.371208633,-0.727822522,-0.390994747,0,1,0.001714184
JPN,WOMEN,2015,1.884459208,-0.824908374,1.0077818,0,1,0.768698218
CHL,MEN,2016,-0.439144125,0.87525576,-0.410742942,1,0,-0.647367251
ITA,WOMEN,2013,1.497390481,0.023334034,0.112918433,0,1,0.335156044
NZL,MEN,2014,-0.511746992,0.031958932,-0.485994267,1,0,-0.69414383
ISR,WOMEN,2014,0.623942263,-0.88621145,-0.45261891,1,0,-0.638688623
JPN,MEN,2014,-0.459165242,-0.567501354,0.951034924,1,0,0.944030767
GRC,WOMEN,2016,-0.070118374,1.140276263,-0.450121619,0,1,-0.685505965
SWE,MEN,2013,-0.592590438,-0.345198188,-0.405367912,1,0,-0.353794148
CAN,TOT,2015,0.19008737,-0.935091746,-0.059012276,1,0,0.224053496
TUR,WOMEN,2015,0.200840715,2.008509042,0.043824967,1,0,-0.420174097
CHE,TOT,2015,0.93100587,-0.313708948,-0.378920146,0,1,-0.17678701
NZL,MEN,2014,-0.511746992,0.031958932,-0.485994267,0,1,-0.696543285
MEX,MEN,2016,-0.45543113,1.274967626,0.139768822,0,1,0.165986231
AUT,MEN,2013,-0.843865442,-0.246445892,-0.414944127,0,1,-0.38642161
EU28,MEN,2015,-0.792442705,0.155679034,5.316719935,0,1,3.912087209
FRA,MEN,2013,-1.004260356,-0.346478384,0.241817121,1,0,0.650856477
ISR,MEN,2016,-0.728947779,-0.203459774,-0.441177389,0,1,-0.639476987
ISR,MEN,2014,-0.701005502,-0.245333933,-0.45261891,1,0,-0.638688623
BRA,WOMEN,2015,0.908790266,1.015577597,0.422273968,1,0,-0.325252184
CHL,WOMEN,2015,0.715669705,0.719462067,-0.415431155,1,0,-0.644126019
IRL,TOT,2016,0.55427425,-0.19036713,-0.435749591,1,0,-0.270657107
GRC,WOMEN,2013,-0.119065649,1.382780844,-0.450792566,0,1,-0.641015094
GBR,WOMEN,2016,1.942478562,-0.71261646,0.30098452,0,1,0.652284298
BRA,MEN,2015,-0.503699826,1.838066759,0.422273968,0,1,-0.36925166
AUS,WOMEN,2013,2.002801481,-1.008386059,-0.207266694,0,1,-0.183671126
KOR,TOT,2016,-0.569865806,0.746922572,0.023687296,1,0,0.476197997
BEL,MEN,2013,-0.967391479,0.07677575,-0.390994747,0,1,0.001714184
FRA,TOT,2016,-0.248779473,-0.617657964,0.28853917,0,1,0.592649517
JPN,MEN,2013,-0.521676858,-0.561007794,0.945214958,0,1,1.155816559
POL,WOMEN,2016,-0.735958029,-0.117473601,-0.226077383,0,1,-0.317928069
ISR,WOMEN,2016,0.556394548,-0.877967126,-0.441177389,1,0,-0.658812822
SWE,WOMEN,2014,0.134080945,-1.17610668,-0.401603035,1,0,-0.351982106
DNK,MEN,2016,0.043928803,-0.615181193,-0.452382147,1,0,-0.539383646
FIN,MEN,2013,-0.684015944,-0.018379852,-0.46915627,1,0,-0.603129697
FRA,WOMEN,2015,0.516049314,-0.976312468,0.269493183,1,0,0.50122818
CHE,MEN,2013,-0.668800447,-0.067535998,-0.391124468,0,1,-0.001779668
ISR,WOMEN,2015,0.60616194,-0.895289593,-0.446443055,1,0,-0.656158132
CAN,MEN,2013,-0.442881931,-0.849548167,-0.073792166,0,1,0.379506623
SVN,TOT,2013,-0.780266459,-0.113165134,-0.517832601,1,0,-0.726894028
TUR,MEN,2015,-1.030212335,1.248047671,0.043824967,1,0,-0.420174097
CHE,TOT,2013,0.893194618,-0.267427768,-0.391124468,1,0,0.131109217
GBR,WOMEN,2013,2.057634694,-0.818368423,0.219415072,1,0,0.370614744
CZE,MEN,2015,-1.348200942,0.285164001,-0.430872035,0,1,-0.49837328
MEX,WOMEN,2015,0.999698811,1.473031683,0.11111552,1,0,0.150067304
ITA,WOMEN,2014,1.511036684,0.043977445,0.117807902,1,0,0.488286162
DEU,TOT,2015,0.521349762,-0.723181562,0.628624304,1,0,2.458554182
COL,TOT,2014,-0.035343934,3.420381177,-0.345216598,1,0,-0.656915992
HUN,MEN,2014,-1.290734011,-0.438722188,-0.461030955,0,1,-0.561722286
AUS,MEN,2014,-0.267038519,-0.594178411,-0.203219614,1,0,-0.199916255
MEX,WOMEN,2014,1.004369475,1.465281818,0.111520252,1,0,0.191585649
FIN,WOMEN,2013,-0.019098741,-0.917180051,-0.46915627,1,0,-0.603129697
NLD,WOMEN,2016,4.040367459,-0.475870771,-0.277369154,0,1,0.179493998
AUS,TOT,2015,0.788640781,-0.770415423,-0.199620533,0,1,-0.282495266
PRT,WOMEN,2013,-0.257560215,-0.057452711,-0.449127052,1,0,-0.644892545
GBR,WOMEN,2014,1.994649555,-0.75015627,0.251377111,1,0,0.403129156
FRA,MEN,2016,-0.932931032,-0.304187116,0.28853917,1,0,0.497512959
BRA,TOT,2014,0.018706568,1.419339103,0.449998875,1,0,-0.240574522
JPN,MEN,2015,-0.458525387,-0.592575677,1.0077818,1,0,0.750460266
BRA,MEN,2013,-0.624577783,1.630220053,0.427796055,0,1,-0.198016562
LTU,WOMEN,2013,-0.6755864,-0.831812473,-0.512621315,1,0,-0.719272346
BEL,MEN,2016,-0.936400901,0.042755982,-0.379275444,0,1,-0.11834872
TUR,MEN,2014,-0.986444265,1.340473648,0.015904141,1,0,-0.377958027
BRA,WOMEN,2015,0.908790266,1.015577597,0.422273968,0,1,-0.36925166
AUS,MEN,2015,-0.242479366,-0.58802232,-0.199620533,1,0,-0.330220919
BEL,WOMEN,2014,1.281621062,-0.712562704,-0.387038418,0,1,-0.008374683
CHL,WOMEN,2014,0.764318427,0.758330851,-0.415432347,0,1,-0.627781635
