LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
SVK,TRADEGOOD,IMP,MLN_USD,A,2015,70554.31,
SVK,TRADEGOOD,IMP,MLN_USD,A,2016,72479.86,
SVK,TRADEGOOD,IMP,MLN_USD,A,2017,79927.32,
ESP,TRADEGOOD,EXP,MLN_USD,A,2013,312691.8,
ESP,TRADEGOOD,EXP,MLN_USD,A,2014,317515.7,
ESP,TRADEGOOD,EXP,MLN_USD,A,2015,277346,
ESP,TRADEGOOD,EXP,MLN_USD,A,2016,280776.5,
ESP,TRADEGOOD,EXP,MLN_USD,A,2017,313457.1,
ESP,TRADEGOOD,IMP,MLN_USD,A,2013,331291.3,
ESP,TRADEGOOD,IMP,MLN_USD,A,2014,346993.1,
ESP,TRADEGOOD,IMP,MLN_USD,A,2015,302088.3,
ESP,TRADEGOOD,IMP,MLN_USD,A,2016,300044.8,
ESP,TRADEGOOD,IMP,MLN_USD,A,2017,338211.7,
SWE,TRADEGOOD,EXP,MLN_USD,A,2013,178629.8,
SWE,TRADEGOOD,EXP,MLN_USD,A,2014,179357.5,
SWE,TRADEGOOD,EXP,MLN_USD,A,2015,152403.9,
SWE,TRADEGOOD,EXP,MLN_USD,A,2016,152298.2,
SWE,TRADEGOOD,EXP,MLN_USD,A,2017,165419.1,
SWE,TRADEGOOD,IMP,MLN_USD,A,2013,160053.6,
SWE,TRADEGOOD,IMP,MLN_USD,A,2014,161965.7,
SWE,TRADEGOOD,IMP,MLN_USD,A,2015,138605.3,
SWE,TRADEGOOD,IMP,MLN_USD,A,2016,140348.7,
SWE,TRADEGOOD,IMP,MLN_USD,A,2017,152987.2,
CHE,TRADEGOOD,EXP,MLN_USD,A,2013,373362.7,
CHE,TRADEGOOD,EXP,MLN_USD,A,2014,329635.1,
CHE,TRADEGOOD,EXP,MLN_USD,A,2015,303258,
CHE,TRADEGOOD,EXP,MLN_USD,A,2016,315920.5,
CHE,TRADEGOOD,EXP,MLN_USD,A,2017,313525.4,
CHE,TRADEGOOD,IMP,MLN_USD,A,2013,319995.7,
